"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","ncRNA processing","220/772","433/5135",4.46793953457394e-77,7.12636355764543e-74,6.25981844265043e-74,"SLX9/SPB1/THG1/ROK1/TRM44/PNO1/SPB4/TRM82/RRP36/NOP12/MRH4/NOP16/NOP58/UTP10/UTP25/NSA1/LOC1/GCD10/NOP7/RVB2/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/GRC3/DUS3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/NCS2/DRS1/HCA4/HAS1/FYV7/DBP7/EFG1/NCS6/DBP3/HCR1/DBP6/KAE1/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/FAL1/NOP10/TRM8/GCD14/TRM13/RAT1/URM1/YTM1/RLP7/TRM10/MTO1/UTP21/UTP14/TRM5/SEN54/RRP14/FAP7/RCM1/SUA5/TSR3/UTP23/PRP4/PUS1/ELP3/GSP1/NPL3/RIO2/DIP2/NOP6/NUG1/UTP6/TRM11/BMT6/ELP2/RNH70/RLI1/RRP17/RRP42/SSZ1/DEG1/RRS1/ESF1/TYW3/PWP1/PAP2/KRE33/UTP9/TRM2/URB1/NOP15/MRM2/NOP56/MSS1/RPC11/NOP53/TRM9/POP1/ENP2/ELP4/UTP11/UTP30/PWP2/TSR1/CSL4/MSK1/RTT10/RRP12/TRL1/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/EMG1/NOC3/LAS1/RRP8/NOB1/RPF2/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/UTP7/RRP15/FUN12/BUD23/LHP1/SOF1/MPP10/RRP46/TAN1/LCP5/RRP1/PUS7/IMP3/RRB1/POP7/TYW1/SKI6/NCL1/TSR2/TRM7/UTP15/ABP140/RIO1/ZUO1/LSM7/RNT1/DHR2/MAK11/RRP4/IKI3/DIS3/FCY1/TGS1/NOG1/UTP8/HIT1/CBF5/RPP1/BMT2/PIH1/MOD5/BMS1/FCF1/PUS4/POP3/FAF1/TCD2/RRP7/TSR4/TRM1/NOC4/EBP2/TRM732/MTR4/FCF2/KTI12/MSS116/DUS1/KRI1/NAF1/BMT5/UTP18/UTP20/RCL1/TRM112/SEN2/DUS4/POP4/NSR1/TRZ1/ENP1/ALA1",220
"GO:0042254","ribosome biogenesis","215/772","429/5135",1.15092951864356e-73,9.17866291118237e-71,8.06256415428724e-71,"SLX9/SPB1/ROK1/RSA3/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/NOP58/RPB5/UTP10/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/ARX1/BFR2/DBP10/DBP8/BCP1/GEP3/ERB1/DRS1/HCA4/HAS1/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/JIP5/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/UTP14/RRP14/FAP7/RCM1/TSR3/UTP23/RNA1/GSP1/AFG2/NPL3/RIO2/DIP2/NOP6/NUG1/RPO26/UTP6/BMT6/RNH70/RPC19/RLI1/RRP17/RRP42/SSZ1/HPM1/RRS1/ESF1/PWP1/YAR1/RPA43/KRE33/RPB10/UTP9/URB1/NOP15/MRM2/NOP56/SGD1/NOP53/POP1/ENP2/LSG1/UTP11/UTP30/PWP2/NOC2/TMA108/TSR1/CSL4/SRM1/RPC10/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/SDA1/PRP43/CIC1/EMG1/NOC3/LAS1/NAP1/RRP8/NOB1/RPF2/RPC40/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/TMA23/NOP2/RRP5/NIC96/SSB2/JJJ1/TIF6/TIF5/UTP22/RPA190/BUD20/UTP7/RPA12/RRP15/FUN12/BUD23/YVH1/SOF1/MPP10/REI1/RRP46/SSF2/LCP5/RRP1/PUS7/ARB1/RPB8/IMP3/RRB1/POP7/SKI6/TSR2/UTP15/RSA4/RIX7/RIO1/ZUO1/LSM7/SQT1/ACL4/RNT1/DHR2/MAK11/RRP4/RPA135/DIS3/RPA49/NEW1/NOG1/UTP8/HIT1/MEX67/CBF5/RPP1/BMT2/MAK21/PIH1/BMS1/TMA20/FCF1/NUP85/POP3/FAF1/RRP7/TSR4/NOC4/EBP2/SYO1/LTV1/NSP1/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/NOG2/UTP18/UTP20/RCL1/TRM112/POP4/NSR1/ENP1",215
"GO:0016072","rRNA metabolic process","182/772","363/5135",2.17648989086796e-61,1.15716712531147e-58,1.01645896306851e-58,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/HCA4/HAS1/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/UTP14/RRP14/FAP7/RCM1/AIR1/TSR3/UTP23/GSP1/NPL3/RIO2/DIP2/NOP6/NUG1/UTP6/BMT6/RNH70/RLI1/RRP17/RRP42/SSZ1/RRS1/ESF1/PWP1/PAP2/RPA43/KRE33/UTP9/URB1/NOP15/MRM2/NOP56/LEO1/NOP53/POP1/ENP2/UTP11/UTP30/PWP2/TSR1/CSL4/RRP12/RRN11/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/EMG1/NOC3/LAS1/RRP8/NOB1/RPF2/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/PZF1/SSB2/JJJ1/TIF6/UTP22/RPA190/UTP7/RPA12/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/RRN5/PUS7/IMP3/RRB1/POP7/SKI6/TSR2/RRN7/UTP15/RIO1/ZUO1/LSM7/RNT1/DHR2/MAK11/RRP4/RPA135/DIS3/RPA49/NOG1/UTP8/HIT1/DST1/CBF5/CDC73/RPP1/BMT2/PIH1/BMS1/FCF1/DOM34/POP3/FAF1/RRP7/TSR4/NOC4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/RCL1/TRM112/POP4/NSR1/ENP1",182
"GO:0006364","rRNA processing","167/772","314/5135",7.32516876278919e-61,2.92091104416219e-58,2.56573674296643e-58,"SLX9/SPB1/ROK1/PNO1/SPB4/RRP36/NOP12/MRH4/NOP16/NOP58/UTP10/UTP25/NSA1/LOC1/NOP7/RVB2/PXR1/REX4/RRP3/RIX1/DBP9/DBP2/GRC3/CCM1/IMP4/BFR2/DBP10/DBP8/GEP3/ERB1/DRS1/HCA4/HAS1/FYV7/DBP7/EFG1/DBP3/HCR1/DBP6/IPI1/NOP14/NOP9/DIM1/GAR1/MAK5/ESF2/FAL1/NOP10/RAT1/YTM1/RLP7/UTP21/UTP14/RRP14/FAP7/RCM1/TSR3/UTP23/GSP1/NPL3/RIO2/DIP2/NOP6/NUG1/UTP6/BMT6/RNH70/RLI1/RRP17/RRP42/SSZ1/RRS1/ESF1/PWP1/KRE33/UTP9/URB1/NOP15/MRM2/NOP56/NOP53/POP1/ENP2/UTP11/UTP30/PWP2/TSR1/CSL4/RRP12/RPF1/NOP4/NHP2/POL5/ECM16/PRP43/CIC1/EMG1/NOC3/LAS1/RRP8/NOB1/RPF2/BUD22/UTP4/NAN1/MRD1/UTP13/RRP43/RRP9/NOP2/RRP5/SSB2/JJJ1/TIF6/UTP22/UTP7/RRP15/FUN12/BUD23/SOF1/MPP10/RRP46/LCP5/RRP1/PUS7/IMP3/RRB1/POP7/SKI6/TSR2/UTP15/RIO1/ZUO1/LSM7/RNT1/DHR2/MAK11/RRP4/DIS3/NOG1/UTP8/HIT1/CBF5/RPP1/BMT2/PIH1/BMS1/FCF1/POP3/FAF1/RRP7/TSR4/NOC4/EBP2/MTR4/FCF2/MSS116/KRI1/NAF1/BMT5/UTP18/UTP20/RCL1/TRM112/POP4/NSR1/ENP1",167
"GO:0042274","ribosomal small subunit biogenesis","87/772","145/5135",1.25530093933526e-36,4.00440999647949e-34,3.51748536895839e-34,"SLX9/ROK1/PNO1/RRP36/NOP58/UTP10/UTP25/LOC1/NOP7/RRP3/IMP4/BFR2/DBP8/GEP3/HAS1/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP21/UTP14/RRP14/FAP7/TSR3/UTP23/RIO2/DIP2/NOP6/UTP6/RRS1/YAR1/KRE33/UTP9/SGD1/ENP2/UTP11/UTP30/PWP2/TSR1/RRP12/ECM16/PRP43/EMG1/NAP1/NOB1/BUD22/UTP4/NAN1/MRD1/UTP13/RRP9/TMA23/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/IMP3/TSR2/UTP15/RIO1/LSM7/DHR2/NEW1/UTP8/BMS1/FCF1/FAF1/RRP7/TSR4/NOC4/LTV1/FCF2/KRI1/UTP18/UTP20/RCL1/TRM112/NSR1/ENP1",87
"GO:0030490","maturation of SSU-rRNA","74/772","118/5135",4.82805160449767e-33,1.28345705152896e-30,1.12739240098007e-30,"SLX9/ROK1/PNO1/RRP36/NOP58/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/GEP3/HAS1/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP14/FAP7/TSR3/UTP23/RIO2/DIP2/UTP6/RRS1/KRE33/UTP9/ENP2/UTP11/UTP30/PWP2/TSR1/RRP12/ECM16/PRP43/EMG1/NOB1/BUD22/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/UTP15/RIO1/LSM7/DHR2/UTP8/BMS1/FCF1/FAF1/TSR4/NOC4/FCF2/KRI1/UTP18/UTP20/RCL1/TRM112/ENP1",74
"GO:0000460","maturation of 5.8S rRNA","63/772","92/5135",1.49381344421731e-31,2.97829055440825e-29,2.61613907138583e-29,"SPB1/ROK1/PNO1/NOP58/UTP10/LOC1/NOP7/GRC3/DBP10/DBP8/ERB1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/RAT1/YTM1/RLP7/UTP14/UTP23/GSP1/DIP2/UTP6/RNH70/RRP42/RRS1/URB1/UTP11/PWP2/CSL4/RPF1/PRP43/CIC1/EMG1/LAS1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/TIF6/UTP7/RRP15/BUD23/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/DIS3/FCF1/NOC4/MTR4/FCF2/KRI1/UTP18/UTP20/RCL1/ENP1",63
"GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","63/772","92/5135",1.49381344421731e-31,2.97829055440825e-29,2.61613907138583e-29,"SPB1/ROK1/PNO1/NOP58/UTP10/LOC1/NOP7/GRC3/DBP10/DBP8/ERB1/DBP3/DBP6/NOP14/NOP9/MAK5/ESF2/RAT1/YTM1/RLP7/UTP14/UTP23/GSP1/DIP2/UTP6/RNH70/RRP42/RRS1/URB1/UTP11/PWP2/CSL4/RPF1/PRP43/CIC1/EMG1/LAS1/RPF2/MRD1/UTP13/RRP43/RRP9/RRP5/TIF6/UTP7/RRP15/BUD23/MPP10/RRP46/LCP5/SKI6/MAK11/RRP4/DIS3/FCF1/NOC4/MTR4/FCF2/KRI1/UTP18/UTP20/RCL1/ENP1",63
"GO:0006399","tRNA metabolic process","97/772","199/5135",1.26665768711397e-30,2.24479890105198e-28,1.97183787315637e-28,"THG1/TRM44/TRM82/RPC82/RPB5/RPO31/GCD10/DUS3/NCS2/NCS6/KAE1/TRM8/GCD14/TRM13/URM1/TRM10/MTO1/TRM5/SEN54/AIR1/SUA5/PUS1/ELP3/RPC17/RPO26/TRM11/ELP2/RNH70/RPC19/RRP42/DEG1/TYW3/ISM1/PAP2/SES1/KRE33/RPB10/TRM2/MSS1/RPC11/TRM9/POP1/ELP4/SLM5/CSL4/MSK1/RTT10/RPC10/TRL1/ARC1/MST1/DTD1/RPC40/RRP43/GUS1/MSE1/LHP1/RRP46/TAN1/RPC25/PUS7/RPB8/POP7/TYW1/SKI6/NCL1/TRM7/ABP140/LSM7/RRP4/IKI3/RPC53/DIS3/FCY1/TGS1/DST1/RPC31/RPP1/MOD5/PUS4/DIA4/POP3/TCD2/RET1/TRM1/TRM732/MTR4/RPC34/KTI12/DUS1/TRM112/SEN2/DUS4/POP4/TRZ1/ALA1/MSW1",97
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","67/772","106/5135",2.84236555280282e-30,4.5335730567205e-28,3.98230373766374e-28,"SLX9/ROK1/PNO1/RRP36/NOP58/UTP10/UTP25/LOC1/NOP7/RRP3/BFR2/DBP8/HAS1/FYV7/EFG1/HCR1/NOP14/NOP9/DIM1/ESF2/FAL1/UTP14/FAP7/UTP23/RIO2/DIP2/UTP6/RRS1/UTP9/ENP2/UTP11/UTP30/PWP2/TSR1/RRP12/ECM16/PRP43/EMG1/NOB1/UTP4/NAN1/MRD1/UTP13/RRP9/RRP5/UTP22/UTP7/FUN12/BUD23/SOF1/MPP10/LCP5/TSR2/UTP15/RIO1/DHR2/UTP8/BMS1/FCF1/FAF1/NOC4/FCF2/KRI1/UTP18/UTP20/RCL1/ENP1",67
